pgpid,description
4326,"Upper part of a will in a hand that resembles that of Immanuel b. Yehiel (active ca. 1231–65), in which the husband of Sutayt bt. Nadiv clarifies that half of the house in which he lives belongs to his wife, as well as the jewelry which has been given as collateral to Yosef Ibn Nufayʿ in Fustat against a loan of 150 nuqra dirhams; ""it must be ransomed with the money of the orphans."" Lastly, the female slave named Nasrīn [belongs to Sutayt]. (Information from Goitein's index card and from Med Soc III, p. 255 n. 35.)"
4327,"Ketubba of Batriqa b. Aharon. (S. D. Goitein, A Mediterranean Society, 3:409) EMS"
4329,"Lower middle part of a ketubba in which the groom renounces his rights to the bride's earnings. Dated to the 13th century. (Information from Mediterranean Society III, p.134, and from Goitein's index cards)"
4331,"Court record from Malij dealing with a fabric manufactured while evading the tax due on it and sold to an acquaintance who did not keep the secret. Dated ca. 1100. (Information from Mediterranean Society, I, p. 116)"
4338,"Document concerning a shiddukh (matchmaking) for a first-time bride in Dammuh, Egypt. Written by Ḥalfon b. Menashshe, and records a fine for the benefit of Dammuh. Early thirteenth century. (Eve Krakowski, “Female adolescence in the Cairo Geniza documents,” PhD diss., The University of Chicago, 2012, 90, 260; and Moshe Gil, Documents of the Jewish Pious Foundations from the Cairo Geniza, Brill, 1976, 102) EMS"
4339,"Court record in which Yosef b. Yaʿaqov, called al-Zamin (‘the ailing’) obliges himself before the court of al-Sahrajt to pay his divorced wife Ra’isa bt. Moshe one-half dirham per day for their son. Signed by Yefet ha-hazzan b. David ha-hazzan, Shelomo b. Yefet. Confirmed by the court and signed by Menashshe ha-Kohen b. Avraham, Yefet ha-hazzan b. David ha-hazzan. Dated 1027. (Eliyahu Ashtor, “The Number of Jews in Medieval Egypt,” JJS, Vol. 18 (1967), 15) EMS"
4342,"Legal document containing a request for a poor blind man and in the continuation, mentions a dispute with someone who had traveled between Byzantium and the West, who was in possession of merchandise belonging to the writer and who had a house taken over by or inhabited by ""Ghuzz"" (the Seljuk Turks).  EMS"
4351,"Power of attorney to receive four dinars from Abu al-Muna, given by Yakhin b. Elazar of Minyat Zifta to Yosef al-Miqdasi b. Allun. (Information from Goitein's index cards)"
4352,Court record in the record book of Fustat dealing with the remains of an inheritance in Qayrawan. Dated Adar 1345/March 1034.
4353,"Provision of ten dirhams per month for an orphan boy staying with his uncle in Fustat. Dated Ijar 1484/ April- May 1173. (Information from Mediterranean Society, III, pp. 299, 493)"
4412,"Lease of an apartment to a parnas as settlement of a debt, AD 1029-1031. The qodesh owes Yaʿaqov b. Mevasser (whom we shall find six years later in charge of the properties of the qodesh) 10 dinars, apparently the balance of money borrowes from him to carry out repairs in the arba, the estates, belonging to the qodesh. The parnasim do not find any way to pay him this sum, and therefore it is decided to lease him the compound of the qodesh in the b. Khabisa lane for two years, for 5 dinars a year. The four parnasim receive permission to do this from Isaac ha-Kohen b. Haggay, who was apparently a member of the court, the whole community being witness to the act of lease. The compound seems to be Dar Sumana. Some special stipulation was added regarding the hikr, probably stating which of the two parties had to pay it. The verso, which was probably written two years later, includes a declaration, which apparently definitively absolves the qodesh from payment of the last five dinars still due to Yaʿaqov b. Mevasser. The recipient of the declaration, Isaac ha-Kohen b. Haggay, transfers the deed to Husayn b. Hillel (probably identical with Husayn al-Dhahabi). Samuel ha-Kohen b. Avtalyon, one of the leaders of the Palestinian congregation, is the signatory at the bottom of the deed. Written by Yefet b. David b. Shekhanya. (Information from Gil, Documents, pp. 144 #4)"
4472,"Letter from Musa b Ya'qub, Tyre, to Abu al-'Ala Yusuf b. Daud b. Sha'ya, Fustat. NB shelfmark was incorrect in old PGP (Or. 1082 J42 instead of Or. 1080 J42)"
4507,"The activity of Elḥanan b. Shemarya as a judge, a holograph: warns someone that he will be banished unless he appears in court the following Monday. For another letter on the this see CUL 1080 J48."
4688,"Leaf no. 53 is one of three paper leaves from the court book of the Babylonian congregation of Damascus, all dated 4693 A.M. (932/3 C.E.), and contains four independent documents, nos. 53a-d. Doc. 53a is a betrothal register. (Friedman, Jewish Marriage, vol. 2, 401-6) EMS
Description from PGPID 4689:
Leaf no. 53 is one of three paper leaves from the court book of the Babylonian congregation of Damascus, all dated 4693 A.M. (932/3 C.E.), and contains four independent documents, nos. 53a-d. Doc. 53b is a betrothal register. (Friedman, Jewish Marriage, vol. 2, 406-15) EMS
Description from PGPID 4690:
Leaf no. 53 is one of three paper leaves from the court book of the Babylonian congregation of Damascus, all dated 4693 A.M. (932/3 C.E.), and contains four independent documents, nos. 53a-d. Doc. 53c is a betrothal register. (Friedman, Jewish Marriage, vol. 2, 415-19) EMS
Description from PGPID 4691:
Leaf no. 53 is one of three paper leaves from the court book of the Babylonian congregation of Damascus, all dated 4693 A.M. (932/3 C.E.), and contains four independent documents, nos. 53a-d. Doc. 53d is a marriage contract, written at the time of the ""nissu'in."" (Friedman, Jewish Marriage, vol. 2, 421-35) EMS"
4718,"Fragment of three legal agreements written by Ibn Yiju, most probably in Yemen, ca. 1151."
4731,"Statements by two Yemenite merchants about consignments sent by Ibn Yiju from India and mostly lost. [India] Almost certainly 1145. (India Book III, 22)"
4744,"Fragment from a responsum dealing with matters of betrothal. The fragment was written by the same scribe who wrote AIU D 75 which is a fragment from Siddur R. Shelomo ben Natan that was written in the twelfth century. Thus, the document must have been written in the twelfth century or after it. It appears that the question involved a betrothal that was carried out with haste (see line 3) by an inexperienced man. The respondent expresses his displeasure that the betrothal was conducted by someone who was not 'experienced in the matter of marriage and divorce' and requests to know how exactly the marriage was conducted: were the objects of betrothal handed directly to the bride or her representatives, and were those appointed in front of two witnesses? Was the expression 'for the purpose of complete betrothal' uttered when then objects of betrothal were handed over? He asks the person who presented the responsum to warn the public that such cases should not happen again."
4745,"Betrothal Agreement. Since there are no 'betrothal agreements' in the Geniza before the twelfth century, this document is probably an engagement agreement despite the fact that 'amlaka' means either 'betrothed' or 'engaged,' and despite the fact that the word engagement is not mentioned directly in the document. he engagements were conducted in front of both the Babylonian and the Palestinian congregation as both Yefet b. David, the leader of the Palestinian congregation, and Avraham b. Sahalan (mentioned here as the 'Alluf ha-Ḥaver) and his son Nehemiah from the Babylonian congregation are mentionEd. Friedman (Jewish Marriage in Palestine, 2:447) dated the document at 1028, despite its Verso : Bodl. MS. Heb. c 13, fol. 22v."
4747,"Deed of gift to an engaged woman written by the hand of Ḥalfon ben Manasse in the year 1129. This gift was given in addition to the payment of the ketubba and the 'added to the ketubba',and the women could do with it as she pleases. Edited also at Weiss, Ḥalfon, Doc. #9."
4748,"Betrothal deed from 1185. According to Goitein, the bride and groom are also cousins. They are both extremely young, but still in the age of legal majority as can be seen in the expression of mutual consent in line 5. (Med. Soc. 3:29, no. 7)"
4749,"An engagement agreement from the 18th of Tevet. The marriage is set a month and four months afterward. The bride is represented by her father, who also receives the engagement from the groom. Here, as elsewhere, there is no mention of a fine if any of the sides would cancel the engagement or the marriage would not be conducted at the agreed upon date."
4750,An engagement agreement from 1331. It looks like a registration in the court's notebook.
4751,"A representative appointment deed. Deed in the hand of Ḥalfon ben Manasse ha-Levi (there are documents in his hand from 1100-1138) in which the bride appoints her father as her representative for the arrangement of marriage. In other appointment deeds, such as T-S 13J25.20 + T-S AS 153.12, the wife appointed her father or another agent to choose for her any groom he sees fit. However, in this deed the bride appointed her father to arrange the marriage with a specific groom. The deed is without signature and might be a draft. Edited in Friedman, Jewish Marriage in Palestine, 1:218-19."
4752,"Marriage authorization. Part A: An authorization from the legal court that there is no legal hindrance to the marriage, from 1159. The authorization is written in approximately the same style as other such documents. This document, like others of its type, shows that matters of marriage were monitored by the community and that the court kept a systematic record of such matters. Part B: in the bottom of the page, written up-side down a short registration of marriage."
4753,"A renewed betrothal contract from the month of Tamuz 1182. The date for marriage is set for the month of Av but the groom is given permission to 'delay' the marriage for another month, until the month of Elul. If he fails to marry her by the month of Elul the match will be cancelled and the bride will keep the money and the rings she was given in the early marriage gift."
4754,"Engagement agreement from 1184. The date of marriage was set for the month of Elul in the following year, almost two years after the document was composed. The bride was orphaned from her father and there is no mention of a representative on her behalf as is common in many engagement agreements. This might indicate that she represented herself and that she was mature. However, the fact that two year would elapse before the marriage can take place might indicate that she was still rather young; see Goitein, Med. Soc. Vol. 3, pp. 92. } The father of the groom vows to take care of all the bride's expenses for five years after the marriage. It is possible that the groom was too young and the bride's family was concerned that he would be unable to provide sufficiently for the bride and thus sought to place this responsibility on his father. There is no mention of any fine on either party in the event that the marriage will not take place. Most of the contract is written in Aramaic and Hebrew but the conditions prevalent at the time in Egypt were written in Arabic and perhaps this indicates that they originated in the surrounding Muslim environment (in ENA NS 21.6 there are conditions in both Arabic and Hebrew and Friedman suggests that the conditions that have not yet won wider acceptance were written in Arabic; see Friedman, Polygyny, pp. 56-59)."
4755,"Fragment of an agreement for a planned engagement from the city of Cairo in the year 1191. The fragment is faded and very difficult to decipher. The suggested reading is uncertain. From what can be salvaged, it appears that the son acts as his father's representative for the marriage. The father might have been going through the divorce procedures while the son was handling the arrangements of the wedding with the new wife. If this is the case, it is a unique situation which does not appear elsewhere."
4756,"The manuscript is found in the Central Archive for the History of the Jewish People in Jerusalem. This is a betrothal deed written under the authority of Shemuel b. Hananya, the Nagid, in the hand of Natan b. Shemuel ha-Ḥaver in the year 1148. The long list of titles attached to the names of the couple may suggests that they were of the family of Shemuel the Nagid."
4757,"Prenuptial agreement in the hand of Ḥalfon b. Manasse ha-Levi. Join by Amir Ashur. Fragment A (CUL Or.1081 J34) contains 18 lines and fragment B (ENA 4011.14) contains 9 lines; fragment B connects with fragment A in line 17. Ashur posits that the deed was written before 1127, the year Masliah ha-Kohen entered office and the word reshut begun to appear in such deeds. Lines 11-12 set a date for the marriage, meaning the deed was written prior to the wedding day. The agreement is presented in the first person reducing the probability that it is a betrothal agreement. The fact that the document refers to the bride as 'mamlukatuhu' (his betrothed or his fiancee; fiancee is more probable) shows that the agreement was made after the engagement took place. It is possible that during the engagement no agreement was written or that the agreement was not comprehensive and therefore this agreement was written. Despite the fact that the manuscript is incomplete it is probable that the bride represented herself, despite the fact that her father was alive: the groom testifies that he handed over to the bride the money directly. Moreover, there is no mention of a representative of the bride. The document has not been published or mentioned elsewhere."
4758,"Deed of engagement written on the bottom left part of the document (apparently from the court's legal folder) that contains also a dowry list (not present here). The handwriting is similar to that of Mevorakh bar Natan (Fustat, 1150-1181) but he probably did not write the document. Ashur dates the document to the middle of the 13th Century."
4759,"Responsum that deals with someone who, due to financial troubles, must move to another city to find work despite an explicit prohibition against it in his wife's Ketubba. The identity of the person to whom the question was directed is unknown. Danzig quotes Adler's opinion that the rabbi was Maimonides, however, there is no proof for this. The Responsum asks: May the husband force his wife to join him against her will? If the answer is no, must he divorce her, as he transgressed an explicit condition in her Ketubba? If the answer to both questions is negative, must he give her child support while he is away? Must he only provide for his kids in this period? The answer has not been preservEd. In the rest of the page and in the right-hand margins there is a piyyut that continues on the reverse side (not presented here)."
4760,"Legal deeds, templates from of a manual. A copy of deeds of legal interest in the hand of the scribe Ḥalfon b. Menashshe ha-Levi (documents of his are dated 1100-1138). Goitein (Med. Soc. 3:127) suggests that the deed was written around 1130, but does not explain the basis for this dating. The earliest identified ketubba that contain the monogamy condition as found here is from 1117, thus the deed was probably written after that year. Deed A, Ketubba: Ashur inserted this ketubba to his dissertation, which does not usually treats ketubbot, because of its proximity to the other deed and due to the unusual condition it contains. The husband vows to provide his wife with a female slave and, in case the present slave dies, to replace her with a new one. It is probable that Ḥalfon copied this condition from a real ketubba, since it is unlikely that this condition was common enough to be included in a manual of deeds. Deed B: deed complementing the Ketubba. Deed which records the dowry that was not stated in the ketubba. The deed was written on the reverse side, from line 8 onward, after the end of the ketubba in Deed A."
4761,"Testimony regarding bridal consent to marriage. Two manuscripts that deal with the marriage of a bride named Karam. The two manuscripts contain the bride's consent to the marriage, her receiving the initial marriage gift (Muqaddam) and an appoint of a representative on her behalf. The first manuscript, ENA NS I.95a, from the 3rd of Nissan (Monday, the 14th of March) year 1244, is a testimony of witnesses that the bride gave in their presence her consent to the marriage to the aforementioned Groom, and that she received the initial marriage gift (Muqaddam) and accepted the sum of the delayed marriage gift (Me'ukhar). The story takes an unexpected twist in the second manuscript dated two days afterward. While the wife testified in the previous document that she received the initial marriage gift and accepted the sum of the delayed marriage gift, in the second document she appoints her brother to receive the initial marriage gift and to set the sum of the delayed marriage gift. Since the ending of the first document did not survive it is impossible to determine what took place in those two days. The wife might have wanted to testify that she received the muqaddam but things did not turn out the way they should have (the two sides might have fallen into dispute and the agreement was not signed?) Thus, direct involvement of the bride's wife was required. Another option is that the brother's appointment as representative was carried out informally before receiving the initial marriage gift, but only later was this formalized in court. [NB volume number in shelfmark is roman numeral I, not Arabic numeral 1]"
4762,"Prenuptial agreement in the hand of Ḥalfon b. Menashshe ha-Levi (dated documents from 1100-1138). It is possible that the agreement reflects special circumstances: the marriage is mentioned in future tense and since there are no betrothal deeds in which the time of marriage is set, it must be assumed that this is a general Prenuptial agreement. However, due to the lacunas in the text it is difficult to ascertain the exact unfolding of events. The condition which forbids the husband to have sexual intercourse (with his wife? With the servant?) is especially intriguing."
4763,"Query and response in the hand of Efrayim b. Shemarya, who was the leader of the Jerusalem congregation in Fustat between 1007 and 1050. Bareket notes that there are fragments of his legal writings in the Geniza and suggests that these were collections of responsa (Bareket, Jewish Leadership, 120). The many amendments in the manuscript suggests that this is an answer he has composed himself, thus providing further confirmation to Bareket's suggestion that he used to compose responsa literature. It is hard to understand the nature of the responsum at hand due to its state, but it seems like it deals with a woman who appointed her sister's husband as a representative for the marriage. It appears that she sought to re-marry her previous husband while her brother-in-law agreed to a marriage with another man. The woman claimed that she did not intend to appoint him as her representative and that there were no witnesses to such an appointment. The Rabbi decided that the marriage to the other man were invalid and the woman may marry her previous husband. If the marriage to the other man had been conducted she would have been forbidden by Jewish Law to her previous husband This manuscript should be added to the corpus of manuscripts of Efrayim b. Shemarya published by Bareket, Jews of Egypt 1007-1055."
4764,"Verso: Various drafts of notes from a legal court in the year 1241. The central one is a payment of an early marriage gift in a betrothal. It is possible that part of the writing was erased. This short record is interesting for two reasons: the man was betrothed to the daughter of his brother and the early marriage gift was collected during the cancellation of the betrothal. Further down in the page there are various sentences and words scribbled in random directions, it seems like these are unconnected to the aforementioned legal document. In one of the scribbles 'Rashida, the daughter of al-Ra'is is mentioned. However, Ashur claims that one should not necessarily identify her with the daughter of Avraham son of Maimonides since in this period the term 'Ra'is' was not restricted to the Nagid."
4765,"Legal document concerning a marriage contract, bridal gifts and rights to a property, mentioning the name Abū Saʿd. (Information from CUDL.) A general prenuptial agreement. The hand recalls the hand of Natan ha-Kohen b. Shelomo, but it is probably written by a different scribe. The document appears to be a draft, or a template for a prenuptial agreement, since it is missing important details, like the name of the bride. Similarly, the ending 'and peace' was common in letters and not in legal documents, and may suggest that the template was sent to one of the sides after they requested to preview it. It is also possible that a Rabbi or the conductor of the marriage sent it to a higher legal authority to obtain his approval. "
4766,"Prenuptial agreement of a previously divorced couple (a husband who re-accepts his divorcée). Eight lines survive on this fragment, probably in the hand of Natan b. Shemuel ha-Ḥaver (documents by him in the years 1128-1153). In the top of the fragment there is a dowry list followed by a list of conditions in Hebrew for future marriage. The husband reaccepts his previous wife, Baqiya. It is possible that this agreement was written to pacify the woman so that she will return to her husband. The conditions regarding his behavior suggest that his violent behavior towards her, or her mother, was the cause of their initial divorce. Lines 1-4 contain the dowry list, and are not transcribed."
4767,"Fragment of a general prenuptial agreement in the hand of Ḥalfon b. Menashshe ha-Levi. The agreement contains remarkable conditions that favor the woman: the bride demanded to live separately from her husband's sisters. In addition, the husband vows to behave well toward his wife and not to beat her. The husband also vows not to forbid the wife from leaving the home. The wife received as a gift a part of her mother's house and the husband vows that her mother will be allowed to live with them. The husband must transfer the rent paid for his wife's share of her mother's house to his mother-in-law for five years. The wife may do as she pleases with her wealth and the husband has no right to it. There is also a special condition that specifies that the groom must provide any medical and burial expenses for his mother-in-law."
4768,"A general prenuptial agreement in the hand of Natan ha-Kohen b. Shelomo. Goitein suggests that this document was written before 1134, the year that Ṣedaqa al-Ramli, the grandfather of the bride, passed away (Med. Soc. 3:154). The agreement was held between the groom and the father of the bride and there is no mention that she appointed her father as her representative or any expression of her consent. In addition, the time of marriage is not set and it is possible that this matter has been decided earlier or was subject to later negotiations. In addition, the deed is without dates or signatures, which are usually found in deeds of betrothal or engagement. Perhaps this is a general agreement appended to another agreement or it might be a draft. Translated to English in Goitein, 3:154. Med. Soc."
4769,"Dowry deed from Fustat, 1171 CE. It was customary to bring together all the objects of the dowry and to record them publicly in a trousseau list, as can be seen, for example, in document T-S Ar.54.78. Each object was recorded with its value in a special list and such lists were called taqwīm. The deed at hand is not a taqwīm, but rather a 'dowry deed'. Such deeds were composed at times of political unrest, when the two sides were cautious of making financial commitmants in public. This is why one often finds in such deeds the expression 'due to the time (ʿawāqib al-zamān)' seen here in lines 3 and 20. The deed, scribed by Mevorakh b. Natan (1150-1181), contains the trousseau list and the testimony of the groom that he accepts the dowry and its stated value. The manuscript is cut in the shape of a circle and is missing some of the text in the sides. There are a few lines in Arabic script on verso."
4770,"Legal record (#43 and #44). Engagement contract, outline. Dated: Thursday, 14 Sivan 1467 Seleucid. In the hand of Meovrakh b. Natan (like the rest of the notebook). Engagement agreement between a Qaraite man (Abū Saʿīd) and a Rabbanite woman (Sitt al-Naṣr bt. Netan'el ha-Kohen). Goitein suggests that it is an agreement between a husband and wife that was composed after a quarrel (Med. Soc. 3:152–53). But Ashur judges the document to be an engagement agreement because the early marriage payment (muqaddam) is mentioned and there is a condition that the muqaddam will be considered 'a gift', alongside many other conditions common in agreements before the marriage. These conditions include: not to bring into the house anything forbidden by the Rabbanites (ṭā'ifat al-rabbānīn), that the early marriage payment is a gift, that he will not marry a second wife nor take a concubine if she disapproves, on pain of having to pay the delayed marriage payment and giving her a divorce, etc. NB: Goitein and Ashur referred to this document as folio 17 (Firk. II NS 1700.17) in accordance with the foliation written in pen; but the correct folio is 18, as written in pencil (the librarian with the pen gave two folios the number 8). ASE."
4771,"Betrothal (erusin) document. Location: Cairo. Dated: 19 Sivan 1418 Seleucid, which is 1107 CE. Fiance: Yosef ha-Levi b. Berakhot. Fiancee: Sitt al-Kull bt. Yefet. Wedding to take place two years later. Early marriage payment: 10 dinars. Delayed marriage payment: 30 dinars. One half of the early marriage payment is given at the time of betrothal. Witnesses: Seʿadya b. Shelomo; Avraham b. Shabbetay; Ḥalfon b. Dā'ūd. (Information from Goitein's note card.) NB: The transcription below belongs to Firk. II NS 1700.17b (PGPID 4770)."
5199,Release from legal obligations in a business relationship involving a store in which one party was present during the absence of the owner. Verso blank.
5200,"Release from legal obligations in a business relationship, mentioning one Abu Nasr, possibly an India trader, as the epithet is very common in the India Book documents. Likely continued in JRL SeriesA337-2. (Information from S. D. Goitein and M.A. Friedman, India Traders of the Middle Ages, 409-10 note 2). Handwriting of Ḥalfon b. Menashshe?"
5201,"Release from legal obligations in a business relationship, mentioning one Abu Nasr, possibly an India trader, as the epithet is very common in the India Book documents. Likely continuation of JRL SeriesA337-1. (Information from S. D. Goitein and M.A. Friedman, India Traders of the Middle Ages, 409-10 note 2)."
5202,"Top portion of a court record from the court of the Nagid Avraham Maimonides (r. 1204-1237), witnessed on Tuesday the 16th of the month of Adar in Fustat. On Avraham Maimonides, see S. D. Goitein, Mediterranean Society, 2: 39-40 and 5:476-77; on cases brought before his court see Mediterranean Society, 1:88, 255, 366, 491; 2:397; 3:72."
5203,"Order of payment to Abu al-Surur Kohen, probably Abu al-Surur Farah b. Yeshua ha-Kohen, from Abu Zikri (Yehuda b. Yosef ha-) Kohen of 13 and a half dirhams for almonds. Both men were involved in the India trade. This is one of more than 80 orders of payment signed by Abu Zikri. This document is part of the India Book corpus: V, 42b. (Information from S. D. Goitein and M.A. Friedman, India Traders of the Middle Ages, 14-15)"
5204,Fragmentary record of sale; the script suggests that this was written in the Ottoman period.
5207,"Draft of alegal query addressed to a legal authority referred to as 'our lord and gaon' discussing the marriage of Abu al-Ala ibn Abu al-Ḥasan the glassblower, which took place in the Muslim court. Connected with this incident the letter writer also refers to the Karaites (?) and someone described as an apostate ('meshumad'). Verso is blank. No date. Probably from Abraham Maimuni's era."
5208,"Fragment from a legal manual or formulary discussing protocol for the writing of conditions attendant to a debt agreement, including procedure when a debt document is lost. Includes a slightly-modified citation from the Mishneh Torah, Laws of Debts 23:11."
5209,Fragment from a legal manual or formulary discussing protocol for the writing of a receipt for payment of a debt.
5210,Fragmentary record of testimony from the 'Permanent Court' in Fustat dated Sivan 1367/May-June 1056.
5211,"Fragmentary court record concerning marital payments. In Judaeo-Arabic. On verso there is a literary text in Judaeo-Arabic, perhaps a tafsīr; cites Exodus 2:25 (line 4). "
5212,"Fragment of a betrothal agreement between Bayan and Sitt al-Nasab. Among the provisions included is the groom's assurance that he will not prevent the bride from traveling from Fustat nor will he force her to travel against her will. (A similar set of arrangements, also pertaining to a woman named Sitt al-Nasab, is reflected in T-S 16.35.). Verso is blank. No date."
5217,"Query in Judeo-Arabic addressed to an unidentified legal authority concerning a husband's financial obligations towards his wife. The text mentions several objects including the wife's household effects and gold and silver jewelry, and the existence of three children. Undated. Recto is largely effaced and appears to be unrelated."
5221,"Payment order by the well-known trader Abu Zikri Yehuda ha-Kohen b. Yosef al-Sijilmasi, who orders Ibn (or Abu?) al-Ḥasan al-Hud (?) to pay the bearer of this certificate half a ratl of 'sharab ward' (rose sherbet). A person identified as Abu al-Ḥasan al-Hud appears in T-S10J6.3. Recto contains business letter. Mid-twelfth century. (Information from Goitein, Mediterranean Society, I, p. 241)"
5231,"This very fragmentary legal document mentions a community leader with the Hebrew honorific 'Sar ha-Sarim' ('Prince of Princes'); on the application of this title, first in the 11th century, and most prominently to the Egyptian Jewish leader Mevorakh b. Saadya, and its later more common use, see Cohen, Jewish Self-Government, esp. pp. 220-221 and note 32): someone with the title 'Behir ha-Yeshiva,' possibly the merchant Yehuda ben Moshe ibn Sighmar (see Cohen, ibid., pp. 116-117): and finally, a certain Rabbi Efrayim. The settlement involves a payment to the poor. The verso is blank."
5234,"A very fragmentary document which describes a settlement involving the person's daughter, who has possibly passed away. At the end both an amount (in dinars) and a date are mentioned, but both are unreadable. The verso is blank."
5235,Fragment from a court testimony (a power of attorney) delivered in 1095/6. A similar small fragment in the same hand and apparently part of the same page is preserved in B3476. The verso contains illegible faded writing in a different hand.
5236,Fragment from a court testimony (a power of attorney) delivered in 1095/6. The date appears in a similar small fragment in the same hand and apparently part of the same page preserved in B3475. The verso is blank.
5240,"Court proceedings (possibly in draft form) from January/February of 1182, involving Ibn Ibrahim and Abu Zikri b. Atiyya. The mention of 'lie' (line 6) and 'one of them threatened me' (right margin) suggests that the matter at hand was some sort of dispute. Regarding the use of qadh instead of qad in line 4 see J. Blau, Dictionary of Mediaeval Judaeo-Arabic Texts (Jerusalem: 2006), p. 535 as well as his Studies in Middle Arabic (Jerusalem: 1988), p. 212."
5241,Verso of document (possibly a draft) of court proceedings from January/February of 1182.
5243,"Legal testimony from the year 1225 (1536 in the Seleucid calendar) written under the auspices of Avraham Maimonides (1186-1237). A certain 'daughter of Abu al-Surur' is mentioned. The other side of the page contains a fragment of a legal testimony by the same hand, but probably a part of a different case. In line 6 the scribe clearly intended to have 'the banner of the rabbis' but the last letter in 'the rabbis' is omitted."
5245,"A three line fragment of a draft of a legal testimony. The other side of the page contains a fragment of what is probably a different case written in the same hand (for example, notice the BH combination in the first line in this document and in line 4 on the other side)."
5262,"Court case from Fustat, 15 March 1285. The document involves the arrangements for paying the capitation tax (jaliya) in Alexandria and Fustat."
5268,"Legal document. Location: Fustat. Dated: 27 Tammuz 1472 Seleucid, which is 1161 CE. The widow of Bunyān(?) b. Durra(?) testifies that she received 10 dinars collected on her behalf by by a well-known tājir, or big merchant, Abū l-Maʿālī b. Bū l-Ḥasan b. Asad. The contributions: 2 dinars from the Nagid Netanel ha-Levi; 2 dinars from Abū l-Maʿālī of al-Maḥalla; 1 dinar from Abū Naṣr; 1 dinar from Bū l-Faraj al-Ṣūrī; 2 dinars from Sālim al-Parnas Ibn al-Jubaylī; and 2 dinars from Ṣāf(ī) the ghulām/slave/business agent of the tājir on the very day on which the document was written. ""The participation of the slave seems to indicate that the dead merchant had been connected with his master by partnership or otherwise. In any case, such a collection also represents some form of mutual help"" (Information from Goitein, Med Soc I, 204 and 451 n. 65, where he erroneously cites the document as MS heb. d.66/76). Although the scribe is different, this shelfmark may belong together with the preceding 2 shelfmarks."
5279,"Legal deed from the court of Alexandria from the year 1220, during the reign of Avraham Maimonides, the Nagid. The deed is signed by, among others, the Judge Anatoli and Shemuel b. Yaʿaqov. (Information from Frenkel)."
5290,"Two repeated testimonies regarding a commercial dispute which took place in Alexandria. The dispute was first brought before the local court of Shela b. Mevasser. After he was unable to reach a decision, the case was forwarded to Fustat. The court record is written in the hand of Avraham b. Natan, the President of the Court of All Israel (Heb. Av beit Din shel kol Israel) and is dated around the year 1100. (Information from Frenkel)"
5334,"Draft or notes of court proceedings (legal document) regarding a sale of half a house for 300 dinars. Abu Sahl, Menashshe b. Yehuda, sold half of a house that he inherited from his mother to Abu al-Faraj, Amram b. Yosef. Apparently the second half was sold by Menashshe to Yosef Lebdi in a transaction which was probably a cover for a loan with interest. In order to remedy this situation, it was decided that Amram would buy Lebdi's share while permitting Menashshe to continue to dwell in the house and even to rent it to others. The document is written in the hand of Hillel b. Eli and is dated to January 22, 1102. At the end of the document there are the remains of a legal opinion, in another hand. Apparently the draft of the agreement was shown to a rabbinic authority who gave his opinion regarding how it should be formulated to remedy the appearance of taking interest from a fellow Jew. The document is full of interesting corrections and additions."
5335,"Legal document. Abu al-Rida b. Abu Barakat II b. Yosef Lebdi, and his brother Fadl Allah enter into a partnership with two investors over the sugar factory they inherited from their father. It seems it was understood that the brothers will use the money for expense and debts unrelated to the sugar factory. In line 9, we find Perahya b. Nissim, known as Ibn Yiju, the great grandson of Avraham Yiju, the India trader."
5340,"Court proceedings dealing with the dispute between Yosef ha-Lebdi the India trader, and Yequtiʾel b. Moshe, 'the representative of merchants' in Fustat. After five months, the court in Fustat reconvened to discuss the litigation begun in India Book I, 1-2. Apparently the two sides waited for their merchandise to arrive from Aden, but when it failed to arrive, the legal proceedings were continuEd. The document is written in the hand of Hillel b. Eli and is dated April 8, 1098. The document begins with the lower half of CUL Add.3421 and continues in Bodl. MS heb. d 66/64v. The upper half of CUL Add.3421 is I, 2 in the India Book. I, 4: CUL Add.3421 (lower half) I, 5: Bodl. MS heb. d 66/64"
5342,"Court proceedings from Fustat dealing with the dispute between Yosef ha-Lebdi the India trader and Yequtiʾel b. Moshe, 'the representative of merchants' in Fustat. These are the proceedings of the eighth session. With no news from Aden, Yequtiʾel and Yosef came up with the idea of sending a man to Aden to fetch the disputed goods. After some discussion, however, the parties retracted their proposal. No signatures are attached to this deed, dated August 18, 1098."
5344,"Legal document. Last will of Abū al-Barakāt b. Abū al-Riḍā Yosef Lebdi. This deathbed declaration was made in the presence of his sons and of the partner in his sugar factory. This document is largely damaged, but several interesting points emerge. For instance, when his eldest son reminds him that according to Jewish law the firstborn was entitled to a double share (Deuteronomy 21: 17), the dying man replies: ""I do not prefer one child over another."" Also, he and his business partner mutually declare that they trust each other completely; Abū al-Barakāt’s account books would speak for him after his death. At the end, a large bag with ʿūd (aromatic wood) was brought in, a purse with gold was put into it; the bag was laid into a Rumī (European) chest, which was locked, and the key was put into the hand of the dying man. Location: Fustat. Dated: 25 Av 1538 Seleucid, which is August 9, 1227 CE. (Information from Goitein’s index card)"
5345,Awaiting description - see Goitein notes linked below.
