pgpid,names,location,date,date_standard,author
15932,"['Joshua B. Eli', 'Abraham B. Shemarya B. Shemayahu', 'Isaac B. Samuel', 'Halfn B. Manasseh']",N/A,1123,Marheshvan 1123,Abraham B. Shemarya B. Shemayahu
15934,"['Moses B. Judah', 'Saadat Bt. Abraham Dukkan', 'Abraham Dukkan', 'Dona Reyna', 'Isaac Reuven', 'Moses B. Abraham', 'Qamr']",Damascus,Late (Ottoman era),Not provided,Not Mentioned
15963,['N/a'],N/A,N/A,N/A,N/a
16045,"['Joseph', 'Eleazar']",N/A,N/A,N/A,N/a
16055,['Halfon B. Manasseh Al-qataif'],N/A,N/A,N/A,Halfon B. Manasseh Al-qataif
16056,"['Abu Mansur B. Nahrir', 'Moses Abu Imran']",Fusṭāṭ,1130 CE,1441,Halfon B. Manasseh
16058,"['Halfon B. Manasseh', 'Isaac B. Samuel', 'Salama B. Solomon']",N/A,N/A,N/A,Halfon B. Manasseh
16059,"['Pinhas', 'Abraham', 'Moses B. Al-ashqar', 'Samuel']",N/A,N/A,N/A,Moses B. Al-ashqar And Samuel
16066,"['Hayya B. Isaac', 'Isaac B. Moses']",N/A,N/A,N/A,Hayya B. Isaac
16067,"['R. Rahamim', 'R. Abraham', 'Joseph B. Zefanya Kohen', 'Abraham Mayo']",Egypt,305 according to Creation,16th century,R. Rahamim And R. Abraham
16069,['Joseph B. Meir Somekh'],Fusṭāṭ,1582 CE,5342 of the Creation,Joseph B. Meir Somekh
16071,"['Joseph B. Abraham B. Saul', 'Samuel B. [...]', 'Abraham B. Moses', 'Sahl B. Khalluf', 'Joseph B. Khalluf']",N/A,N/A,N/A,"Joseph B. Abraham B. Saul, Samuel B. [...], Abraham B. Moses, Sahl B. Khalluf The Teacher And Joseph B. Khalluf"
16072,"['Eli B. Yaish', 'Malk Bt. Moses', 'Moses B. Shela', 'Mevorakh B. Joshua', 'Saadya B. Mevasser']",N/A,N/A,N/A,Eli B. Yaish
16075,"['Joseph', 'Isaac B. Saadya']",N/A,N/A,N/A,Isaac B. Saadya
16086,"['Moses B. Tahor', 'Abraham Maimonides']",Fusṭāṭ,Heshvan 1542 Seleucid (1230 CE),1230 CE,Abraham Maimonides
16087,"['Joshua B. Nathan', 'Abu Surur', 'Abu Katir B. Ezra', 'Abu Sahl B. Azhar', 'Manasseh Al-magrebi', 'Moses B. Solomon', 'Samuel B. Samuel']",N/A,N/A,N/A,Moses B. Solomon And Samuel B. Samuel
16088,"['Yehiel B. Elyaqim', 'Elijah B. Zechariah']",Fusṭāṭ,Elul 1535,1224 CE,"Yehiel B. Elyaqim, Elijah B. Zechariah"
16091,"['Abu Nasr Al-tajir Al-levi', 'Abu Ala']",N/A,N/A,N/A,Abu Nasr Al-tajir Al-levi And Abu Ala
16096,"['R. Joseph', 'Samuel B. Hananya', 'Halfon B. Manasseh']",Fusṭāṭ,N/A,N/A,Halfon B. Manasseh
16099,"['Samuel', 'Abu Berakot Al-tabib']",N/A,1143 CE,454 CE,Samuel
16101,"['Halfon B. Manasseh', 'B. Menahem']",N/A,N/A,N/A,Halfon B. Manasseh
16106,"['B. Al-nagara', 'Halfon', 'Isaac B. Aaron', 'Joseph B. Harit', 'Isaac B. Ovadya B. Isaac', 'Isaac B. Jacob', 'Halfon b. Netanel ha-Levi', 'Mordechai Akiva Friedman']","Almeria, Spain",N/A,N/A,Halfon
16111,"['Menahem Sarfati B. Moses', 'Hanuna Wife Of Samuel', 'Jacob B. Rahamim', 'Isaac Reuben B. Jacob', 'Samuel']",Egypt,Kislev 5455,1695 CE,Menahem Sarfati B. Moses
16113,"['David', 'Hayyim Sanua', 'Matatiya B. Shekhanya', 'Ali B. Solomon']",Fusṭāṭ,5564 of the Era of Creation,1804 CE,David And Hayyim Sanua
16114,"['Abram The Witness B. Shabbetai The Witness', 'Jacob Abzaradel', 'Ezekiel Haffad', 'Ephraim', 'Joseph Hasan']",Fusṭāṭ,5562,1802 CE,Abram The Witness B. Shabbetai The Witness
16118,"['Salih B. Moses Umisi', 'Hasan B. Salim Moses Zanar', 'Harun Salim Moses Zanar', 'Salim Hadi', 'Hasan Al-dib', 'Yahya Harun', 'Moses Nissim', 'Menahem']",Yemen,N/A,N/A,Salih B. Moses Umisi
16119,"['Halfon B. Manasseh', 'Abu Imran Moses Glory Of The Community', 'Sitt Al-husn B. Moses Ha-sar']",N/A,N/A,N/A,Abu Imran Moses Glory Of The Community
16122,"['Yair B. Isaac', 'Sahl B. Faraj', 'Yefet B. Samuel', 'Abraham B. Joseph']",N/A,N/A,N/A,Yair B. Isaac
16123,"['Sitt Al-jami', 'Halfon B. Manasseh']",N/A,N/A,N/A,Halfon B. Manasseh
16125,"['Abraham Castro', 'Mordechai Rqaq', 'Samuel B. Yahya', 'Jacob Castro He-hakham', 'Isaac Castro', 'Joseph Saadya', 'Esther', 'Habib Dnvn', 'Moses', 'Moses Reuben', 'Judah', 'Solomon B. Ezra']",Cairo,5416 CE,1656 CE,"Judah B. Hezekiah , Menahem , And Solomon B. Samuel"
16126,"['Abraham Shami', 'Solomon Abu Khayr', 'Judah Abu Khayr', 'Elijah B. David', 'Aaron B. Solomon Yeshu']",Egypt,6th Sivan 5321,1561 CE,Abraham Shami B. Solomon Abu Khayr
16127,"['Pinhas B. Moses', 'Yom Tov B. [...]']",Rashid,"Wednesday, 1st Adar II 5323",1563 CE,Pinhas B. Moses
16128,"['Rachel The Widow Of Eliezer Zussman', 'Moses Zussman', 'Moses B. Jeremiah Samuel', 'Abraham Levi B. Moses']",Jerusalem,Friday 2nd Eyar 5324 (= 1564 CE),1564 CE,Rachel The Widow Of Eliezer Zussman
16129,"['Yom Tov Alalvv', 'Semah B. David Algg', 'Badusa B. Asher']",Cairo,Tuesday 1st Shevaṭ 5329,1569 CE,Badusa B. Asher
16130,"['Abraham Aripol', 'Jacob Castro', 'Yom Tov Mitrani', 'R. Besalel Ashkenazi']",Cairo,Monday 20th Menaḥem (Av) 5348,1588 CE,Joseph B. Meir Somekh
16131,"['Jacob Bonsenior', 'Nissim Noah', 'Rahamim B. Abraham Noah', 'Nissim B. Mordekhay Sevili', 'Habiba Bt. Eleazar', 'Abraham B. Moses Levi', 'Rahma Bt. Eleazar', 'Moses Sadaqa', 'Miriam Bt. Elijah Shami']",Yemen,5495 (= 1735 CE),1735 CE,Jacob Bonsenior
16132,"['Mercada Bt. Jacob Arubas', 'Joseph Kondiote', 'Meir B. Solomon Qalai']",Cairo,Tammuz 5521,1761 CE,Samuel Elyon
16134,"['Moses', 'Mordechai', 'Reuben', 'Zikri', 'Joseph B. Meir Somekh', 'Aaron B. Re[uben]']",Cairo,20 Iyyar 5320,1560 CE,Aaron B. Re[uben] And Others
16135,"['Abraham Mosseri', 'Nissim Solomon Algazi', 'Isaac Shunina', 'Hayyim', 'Joseph Yonah', 'Moses Mosseri', 'Zechariah Mosseri']",Cairo,1st Tevet 5508 of the Era of Creation,1747—8 CE,Abraham Mosseri
16137,"['Netanel', 'Moses B. Solomon', 'Yair B. Samuel']",Fusṭāṭ,N/A,N/A,Netanel
16138,"['Manasseh B. Abraham B. Aaron B. Shuayb', 'Mansur B. Solomon B. Azhar', 'Eleazar B. Yefet', 'Samuel B. Isaac', 'Sadaqa B. Nahman', 'Abraham B. [...]', 'Muhsin B. Husayn']",N/A,Shevat,N/A,Manasseh B. Abraham B. Aaron B. Shuayb
16139,"['Abraham', 'Solomon', 'Nathan The Scribe B. Abraham', 'Sultan Sulayman']",Egypt,5304 (= 1544 CE),1544 CE,Nathan The Scribe B. Abraham
16140,"['Michal Bt. Joshua', 'Joshua', 'Jacob B. Abraham B. Allan', 'Sahl B. Abraham B. Ezekiel', 'Abraham B. Nahman', 'Nahman', 'Joshua']",N/A,N/A,N/A,Michal Bt. Joshua
16142,"['Jacob B. Abraham', 'Nathan B. Samuel', 'Moses B. Solomon']",Fusṭāṭ,2nd quarter of the 12th century,N/A,N/a
16143,"['Nathan B. Jacob B. Shabon', 'Hasan B. Eli', 'Solomon B. Said', 'Joseph B. Hasan', 'Simha B. Yefet']",N/A,N/A,N/A,Nathan B. Jacob B. Shabon
16144,"['Mordechai B. Naim', 'Ashkenaz', 'David B. Naim', 'Abraham Noah', 'Nissim Solomon']","Cairo, Egypt",June 1749,1st Tammuz 5509,David B. Naim
16145,"['Yefet', 'Joshua', 'Ovadya B. Tahor']",N/A,N/A,N/A,"Yefet, Ovadya B. Tahor, Joshua"
16146,"['Mansur B. Bashara', 'Yefet B. Joseph', 'Mevorakh B. Meshullam', 'Yefet B. Judah']",N/A,N/A,N/A,N/a
16148,"['Joshua', 'Netanel', 'Manasseh B. Halfon', 'Solomon B. Arah', 'Solomon B. Halfon']",N/A,1148 CE,1148 CE,Joshua
16149,"['Samuel B. Aaron', 'Nissim B. Meshullam', 'Sadaqa B. Meshullam', 'Bahiyya Bt. Halfon', 'Abu Ala Meshullam B. Hiba', 'B. Shuwaykiyya', 'Joseph B. Sadaqa', 'Eli B. Yaish']",N/A,1066 CE,1066 CE,Samuel B. Aaron
16150,"['Solomon B. Moses B. Solomon', 'Mansur B. Israel', 'Yaish B. Abraham B. Yaish', 'Jacob B. Joseph', 'Hiba B. Aaron', 'Farah B. Muammal', 'Joseph B. Benjamin', 'Moses B. Isaac', 'Solomon B. Allun']",Fusṭāṭ,"23rd of the month, 1329 (= 1018 CE)",1018 CE,Solomon B. Moses B. Solomon
16152,"['Muammala Bt. Hayyim', 'Bahlul B. Isaac', 'Isaac B. Elijah', 'Isaac B. Samuel Ha-fara', 'Eli B. Muammar', 'Joseph B. Jacob', 'Isaac B. Jacob', 'Saadya B. Joseph', 'Abraham B. Isaac', 'David B. Solomon', 'Hiba B. Khalluf Al-shinizi', 'Joseph B. Isaac', 'Jacob B. Isaac']",ʿAkko (Acre),1002 CE,1002 CE,Manasseh B. Mahub
16155,"['Abu Mufaddal Saadya', 'Ovadya B. Samuel']",Qaṣr al-Rūm,N/A,N/A,Abu Mufaddal Saadya
16156,"['Samuel B. Yahya', 'Isaac B. Samuel']",N/A,N/A,N/A,Samuel B. Yahya
16157,"['Abu Azz B. Abu Imran Al-sharabi', 'Solomon B. Elijah', 'Abraham Maimonides']",Fusṭāṭ,Tammuz 1531 of the Seleucid Era (= 1220 CE),1220 CE,Solomon B. Elijah
16158,"['Abraham B. Samuel', 'Bt. Jacob']",N/A,N/A,N/A,Abraham B. Samuel
16161,"['Halfon B. Manasseh', 'Masliah', 'Nathan B. Solomon', 'Abu Rida B. Faraj B. Azarya', 'Hillel B. Nathan']",Fusṭāṭ,1133 CE,1133 CE,Halfon B. Manasseh
16162,"['Netanel B. Tamim', 'Said B. Joseph', 'Mufaddal B. Salama B. Said', 'B. Najib Al-dawla', 'Nathan B. Solomon', 'Ephraim B. Joseph']",N/A,N/A,N/A,Nathan B. Solomon
16165,"['Eleazar Kondiote', 'Shabbetai Adda', 'Ezekiel Hefes', 'David B. Eleazar Kondiote', 'Saadya Maali']",N/A,Kislev 5527 of the Era of Creation,1766 CE,"Ezekiel Hefes, David B. Eleazar Kondiote, Saadya Maali"
16168,"['Said B. [...]', 'Solomon B. Sadaqa', 'Isaac', 'Solomon B. [...]']",N/A,479 AH (1030-39 CE),1030-39 CE,Said B. [...] And Others
16169,"['Joseph B. Hasan', 'Joseph B. Abraham']",N/A,N/A,N/A,Joseph B. Hasan And Joseph B. Abraham.
16170,"['Nathan B. Samuel', 'Nathan B. Solomon']",N/A,N/A,N/A,Nathan B. Samuel Or Nathan B. Solomon
16171,"['Nathan B. Samuel', 'Nathan B. Solomon']",N/A,N/A,N/A,Nathan B. Samuel Or Nathan B. Solomon
16172,['Faraj B. Akish'],N/A,N/A,N/A,Halfon B. Manasseh
16175,"['Abu Mansur Al-sabawi', 'Makarim B. Said', 'Abu Surur']",N/A,N/A,N/A,"Abu Mansur Al-sabawi, Known As M[....], Makarim B. Said"
16177,"['Abraham B. Shemarya', 'Isaac B. Samuel']",N/A,N/A,N/A,Abraham B. Shemarya And Isaac B. Samuel
16178,"['Abu Makarim B. [...] Known As B. Baqa', 'Saadya', 'Solomon Known As Abu Khayr', 'Halfon B. Manasseh', 'Manasseh']",N/A,1100-1138 CE,1100-1138 CE,Halfon B. Manasseh
16179,"['Sitt Al-jami', 'Halfon B. Manasseh']",N/A,1100-1138 CE,1100-1138 CE,Halfon B. Manasseh
16180,"['Abraham B. Joshua', 'Abu Sad B. Tamam', 'Amram B. Eleazar', 'Sadan B. Sahl']",Malīj,1144 CE,1144 CE,Multiple Authors
16182,"['Solomon B. Moses', 'Sitt Al-h[...]', 'Emmanuel B. Yehiel']",N/A,N/A,N/A,Solomon B. Moses
16190,"['Sitt Al-kull', 'Sirwa', 'Halfon B. Manasseh']",N/A,1100-1138 CE,1100-1138 CE,Halfon B. Manasseh
16193,"['Elijah B. Moses', 'Nissim', 'Ismail B. Khal', 'Samuel B. Nehemiah Kohen', '[... B. So]lomon', 'Baruch B. Jacob', 'Daniel B. H[..]n']",N/A,N/A,N/A,Elijah B. Moses
16194,"['Daniel B. Jacob', '[...]m B. Hille[l]']",N/A,N/A,N/A,Daniel B. Jacob
16195,['Halfon B. Manasseh'],N/A,1100-1138 CE,1100-1138 CE,Halfon B. Manasseh
16196,"['Menahem B. Tamim', 'Ephraim B. Hayyim']",N/A,N/A,N/A,"Menahem B. Tamim, Ephraim B. Hayyim"
16205,"['Abu Said Nathan B. Solomon', 'B. Solomon', 'Samuel B. Nathan']",N/A,1145 CE,1145 CE,Samuel B. Nathan
16208,"['Aaron B. Baqa', 'Saadya', 'Ezekiel B. Nathan']",N/A,N/A,N/A,Aaron B. Baqa
16209,"['Al-dahabi', 'Sadaqa', 'B. Ghazzi', 'Halfon B. Manasseh']",N/A,N/A,N/A,Halfon B. Manasseh
16210,"['Elijah B. Solomon', 'Perahya B. B. Solomon', 'Abu Surur', 'Halfon B. Manasseh']",N/A,1124 CE,1124 CE,Halfon B. Manasseh
16214,"['B. Moses', 'Moses B. Solomon', 'Abu Nasr', 'Halfon B. Manasseh']",N/A,N/A,N/A,Halfon B. Manasseh
16215,"['Berakot B. Samuel', 'Sadaqa B. Semah', 'Joseph B. Halfon B. Joseph', 'Oded Zinger', 'Masliah']",Court of Maṣliaḥ Gaon,1127-39 CE,1127-39 CE,Joseph B. Halfon B. Joseph
16216,"['B. Hayya', 'Abu [...] B. Samuel', 'Halfon B. Manasseh']",N/A,1127 CE,1438 of the Seleucid Era,Halfon B. Manasseh
16219,"['Isaac B. Ovadya', 'Yair', 'Zephaniah B. Hayyim Saragossi', 'Ovadya', 'Nathan B. Makhluf']",Egypt,5316 (= 1556 CE),1556 CE,Ovadya
16220,"['Abraham B. Solomon Levi', 'Saadya Abu Khayr', 'Elyaqim Ashkenazi B. Solomon', 'Menahem Delmedigo', 'Moses Benjamin B. Laa', 'Solomon', 'Rahamim', 'Reuben', 'Khr Jacob']","Rashid (ראשיד, Rosetta)",5318 (1558 CE),1558 CE,"Abraham B. Solomon Levi, Saadya Abu Khayr, Elyaqim Ashkenazi B. Shelomo, Menahem Delmedigo, Moses Benjamin B. Laa, Shelomo, Rahamim, Reuben, Khr Jacob"
16221,"['Hoda B. Zerah Damuhi', 'Moses', 'Abraham B. Isaiah', 'Solomon Maazuzi']",Egypt,1563 CE,5323,Abraham B. Isaiah
16224,"['Abu Hasan', 'Hiba B. Abraham', 'Halfon B. Manasseh']",N/A,N/A,N/A,Halfon B. Isaac
16225,"['Judah B. Jacob', 'Moses B. Joseph']",N/A,N/A,N/A,Judah B. Jacob And Moses B. Joseph
16227,['Joseph B. Moses Dammuhi'],Egypt,5337 (= 1577 CE),1577 CE,Joseph B. Moses Dammuhi
16231,"['Abu Said', 'B. Al-amm', 'Abraham B. David B. Zigmar', 'Abu Hasan B. Isaac', 'Mubarak B. David', 'Mevorakh B. David', 'Isaac B. [...]', 'Isaac B. Khalluf', 'Mahfuz B. Isaac', 'Solomon B. [...]', 'Ephraim B. Shemarya']",N/A,1039-1049 CE,1039-1049 CE,Abraham B. David B. Zigmar
16232,"['Halfon B. Halfon', 'Sitt Al-milah B. Abu Said', 'Khalluf Abu Said Al-kohen', 'Abu Hasan B. Bayan B. Hashish', 'Sitt Al-num B. Joshua B. Amram', 'Joseph B. Ovadya', 'Hillel Known As Al-abzari', 'Shemarya B. Abraham', 'Yefet B. Jacob', 'Yefet B. Isaac', 'Karam Bt. Joshua', 'Sadaqa B. Eleazar']","Fusṭāṭ, Damīra",1158 CE,1158 CE,Mevorakh B. Nathan
16240,"['Abraham', 'The Illustrious Judge']",al-Ẓāfir,Ca. 12th century,N/A,Abraham
16242,"['Abu Hasan B. Wahb', 'Mikhail B. Abd Al-masih', 'Tiqat Al-mulk Makin Al-dawla Wa-aminuha', 'Abu Hasan Ali B. Bahar', 'Abu Sari Theodor B. Yuhannis']",Al-Fayyūm,24th Muḥarram 404 AH (= August 1013 CE),August 1013 CE,Mikhail B. Abd Al-masih
16243,"['Mikhail B. Abd Al-masih', 'Abu Hasan B. Wahb', 'Tiqat Al-mulk Makin Al-dawla Wa-aminuha', 'Abu Hasan Ali B. Bahar', 'Abu Ali Al-hasan B. Yahya B. Bahar', 'Sadid Al-dawla Abu Faraj Abd Al-masih B. Quril', 'Dat Al-safa']",N/A,1012 CE,1012 CE,Mikhail B. Abd Al-masih
16244,"['Nasir B. Jibril', 'Makarim B. Isaac', 'Sutayt', 'Abd Al-qawi B. Abd Al-muti B. Hilal Al-ansari']",N/A,Ca. 1250 CE,Ca. 1250 CE,Nasir B. Jibril
16245,"['Butrus B. Jirjis', 'Abu Fadail Abd Al-hamid B. Hibatallah B. Shua', '[...] B. Ali B. Jabir', 'Abu Mufaddal Hibatallah B. Hasan', 'Abd Al-rahman B. Ali B. Ahmad', 'Yahya B. Muslim']",N/A,1117 CE,1117 CE,N/a
16246,"['Abu Nasr Mansur B. Al-gabn Zurbi', 'Karim Al-dawla Aytam', 'Amir Atir Al-mulk Sharaf Al-dawla Wa-farisuha', 'Abu Sad B. Abu Imran', 'Sitt Al-jamal Bt. Abu Sad B. Abu Imran', 'Abu Fadail Muhammad B. Al-qadi', 'Mahmud', 'Abd Al-salam']",N/A,1131-1149 CE,1131-1149 CE,Abu Nasr Mansur B. Al-gabn Zurbi
16248,"['Abu Hasan B. Yahya', 'Ali B. Abraham', 'Al-nasr B. Abu Qasim']",N/A,5th century AH (= 11th century CE),11th century CE,Abu Hasan B. Yahya
16249,"['Abraham B. Moses B. Salih The Jew', 'David B. Azhar B. Abraham B. Azhar The Jew', 'Al-hasan B. Al-husayn B. Ali Al-ansari', 'Abd Al-aziz B. Tahir B. Ismail']",Fusṭāṭ,6th Ṣafar 498 AH,1104 CE,David B. Azhar B. Abraham B. Azhar The Jew
16250,"['Safi B. Abdallah', 'Abu Fadl Abraham B. Abd Al-karim Al-anbari', 'Dakhira Bt. Jami']",Akko,Ca. 11th century,N/A,Safi B. Abdallah
16251,"['Ridwan B. Atiyya', 'Ali B. Ganaim B. Muhammad', 'Ahmad Ib. Abd Al-malik B. Al-husayn B. Mahdi Al-ansari', 'Yahya B. Abraham B. Ali B. Al-hasan', 'Abu Fadail Al-hasan B. Hayyan B. Ali', 'Imad Al-dawla']",N/A,14th Jumādā II 59 AH (= May 1164 CE),May 1164 CE,Imad Al-dawla
16253,['Amat Al-qadir'],N/A,March-April 1071 CE,463 AH,Amat Al-qadir
16254,"['[...] Bt. Said', '[...] Bt. Abd Al-rahman B. Yahya']",Fusṭāṭ,11th-12th century,N/A,Unknown
16255,"['Abu Hasan B. Wahb', 'Mikhail B. Abd Al-masih', 'Tiqat Al-mulk Makin Al-dawla Wa-aminuha', 'Abu Hasan Ali B. Bahar', 'Abu Sari Theodor B. Yuhannis']",Al-Fayyūm,25th Ḏū al-Ḥijja 403 AH (= July 1013 CE),July 1013 CE,Mikhail B. Abd Al-masih
16256,"['Abu Hasan B. Wahb', 'Yuhanna B. Mikhail', 'Mikhail B. Abd Al-masih', 'Tiqat Al-mulk Makin Al-dawla Wa-aminuha', 'Abu Hasan Ali B. Bahar', 'Safi Al-dawla Abd Al-majid B. Hasan', 'Sadid Al-dawla Abu Faraj Abd Al-masih B. Quril']",Al-Fayyūm,27th Ṣafar 405 AH,August 1014 CE,Yuhanna B. Mikhail
16258,"['Abu Hasan B. Wahb', 'Mikhail B. Abd Al-masih', 'Tiqat Al-mulk Makin Al-dawla Wa-aminuha', 'Abu Hasan Ali B. Bahar', 'Abu Ali Al-hasan B. Yahya B. Bahar', 'Sadid Al-dawla Abu Faraj Abd Al-masih B. Quril', 'Dat Al-safa']",N/A,8th Ramaḍān 402 AH,3rd April 1012 CE,Mikhail B. Abd Al-masih
16260,"['Ubayd B. Yasir', 'Abu Husayn']",Fusṭāṭ,1103-1104 CE,497 AH,N/a
16262,"['Hanun B. Allun', 'Arus B. Joseph', 'Qiwam']",Fusṭāṭ,1090 CE,438 AH,Hanun B. Allun
16263,"['Abd Al-baqi B. Wardar', 'Kamal Al-din']",Fusṭāṭ,1161-1164 CE,556-559 AH,Kamal Al-din
16264,"['Umar B. Moses', 'Yaasa Bt. Ismail Al-kohen', 'Abu Abdallah Muhammad B. Abd Al-wahid B. Ali', 'Abu Husayn Ismail B. Al-husayn Al-abbasi', 'Futuh B. Fadl', 'Abu Umar David B. Hasan', 'Abd Al-baqi B. Abraham B. Al-salam', 'Muhammad B. Hasan', 'Ahmad B. Al-husayn', 'Abdallah B. [...] B. Ahmad', 'Abd Al-wahhab B. Ahmad']",Fusṭāṭ,November 1126 CE,Ḏū al-Qaʿda 520 AH,Yaasa Bt. Ismail Al-kohen
16265,"['Talai B. Ruzzik', 'Abu Muhammad Abdallah B. Kamil B. Abd Al-karim']",N/A,13th Ṣafar 554 AH,March 1159,Talai B. Ruzzik
16267,"['Abu Hasan B. Wahb', 'Mikhail B. Abd Al-masih', 'Tiqat Al-mulk Makin Al-dawla Wa-aminuha', 'Abu Hasan Ali B. Bahar', 'Abu Ali B. Yahya B. Bahar', 'Sadid Al-dawla Abu Faraj Abd Al-masih B. Quril']",Al-Fayyūm,27th Ramaḍān 405 AH,March 1015 CE,Mikhail B. Abd Al-masih
16270,"['Halfon B. Manasseh', 'Aaron Ha-zaqen', 'Shilo Ha-zaqen']",N/A,N/A,N/A,Halfon B. Manasseh
16272,"['Abu Hasan', 'Abu Karam', 'B. R. Maa', 'Abraham B. R. [...]']",N/A,1121 CE,Adar 1432 Sel.,Halfon B. Manasseh
16273,['Abraham B. Shemarya'],N/A,N/A,N/A,Abraham B. Shemarya
16276,"['Saadya B. Nathan', 'Amram B. Yefet', 'Isaac The Pauper B. Abraham']",N/A,N/A,N/A,Saadya B. Nathan
16280,"['Berakot', 'Abraham', 'Mevorakh B. [...]']",N/A,N/A,N/A,"Berakot , Abraham And Mevorakh B. [...]"
16282,"['Abu Sad B. Husayn B. Al-wuhsha', 'Al-sayrafi', 'Al-halabi']",N/A,N/A,N/A,Abu Sad B. Husayn B. Al-wuhsha
16286,"['Abu Berakot', 'Perahya B. Benjamin The Elder', 'Abu Jacob']",N/A,N/A,N/A,Halfon B. Manasseh
16287,['Abu Ali Ezekiel B. Netanel Al-dimyati'],N/A,N/A,N/A,Abu Ali Ezekiel B. Netanel Al-dimyati
16305,"['Abraham', 'Halfon B. Manasseh', 'Hillel B. Eli', 'Judah']",N/A,N/A,N/A,Abraham
16307,"['Abu Nissim', 'Moses', 'Meir', 'Samuel', 'Isaac', 'Joshua', 'Elijah']",N/A,N/A,N/A,"Abu Nissim, Joshua B. Elijah"
16310,"['B. Abdallah', 'Al-asad']",N/A,1175 CE,Av 1486 of the Seleucid Era,B. Abdallah And The Elder Al-asad
16311,"['Fadail', 'R. Yehiel', 'Abu Nasr B. Al-[...]', 'Makhluf']",N/A,N/A,N/A,Fadail R. Yehiel
16315,"['Moses B. Harun Al-shami', 'Faraj Allah B. Joseph B. Fadil']",al-Shām,N/A,N/A,"Moses B. Harun Al-shami, Faraj Allah B. Joseph B. Fadil"
16318,"['Nathan', 'Hilal B. [...]', 'Tabit B. [...]', 'Muala B. Isaac']",N/A,N/A,N/A,"Nahum, Hilal B. [...], Tabit B. [...], Muala B. Isaac"
16321,"['Abu Faraj', '[... B. N]athan', 'Baraka B. [...]']",N/A,N/A,N/A,Abu Faraj
16324,"['Husna Bt. Saul', 'Yefet B. Hillel', 'Isaac B. Abraham', 'Abraham', 'Nathan', 'David']",Fusṭāṭ,N/A,N/A,N/a
16327,['Halfon B. Manasseh'],N/A,N/A,N/A,Halfon B. Manasseh
16330,"['Samuel B. Hananya', '[...] B. Samuel']",Banhā,1149/50 CE,1149/50 CE,Samuel B. Hananya
16338,"['Abu Hasan Joseph B. Josiah Al-tunisi', 'Hilal B. Sahl Al-sahrajti']",N/A,N/A,N/A,Abu Hasan Joseph B. Josiah Al-tunisi
16354,"['B. Khalluf', 'Nathan B. Nathan']",N/A,Ca. 11th century,N/A,N/a
16359,"['Solomon B. Abraham B. Ezra', 'Abraham Al-hariri']",Fusṭāṭ,N/A,N/A,Solomon B. Abraham B. Ezra
16360,"['Abu Mansur', 'Abu Mahasin Al-naqli B. Abu Fadl', 'B. Al-ribat']",N/A,N/A,N/A,"Abu Mansur, Abu Mahasin Al-naqli B. Abu Fadl"
16367,"['David B. Joseph', 'Abu Fadl Abu Azz']",N/A,N/A,N/A,"David B. Joseph, Abu Fadl Abu Azz"
16376,"['Mubarak B. Abraham', 'Solomon B. Kalb']",N/A,N/A,N/A,"Mubarak B. Abraham, Solomon B. Kalb"
16380,"['Shela B. [...]', '[...] B. Sadaqa', 'Yefet B. Saadya', 'Joseph B. Yefet']",Fusṭāṭ,N/A,N/A,Yefet B. Saadya
16381,"['Sadaqa The Elder', 'Tovia B. Joseph']",N/A,N/A,N/A,Tovia B. Joseph
16383,"['Joshua B. Isaac', 'Faraj B. Ukaysh', 'Joseph B. Abu Faraj', 'Said B. [...]', 'Yahya']",N/A,N/A,N/A,Joshua B. Isaac
16384,"['', 'Bt. Halfon', 'Halfon', 'Abraham B. Moses']",N/A,N/A,N/A,", Abraham B. Moses"
16392,"['Shemarya', 'Shabbetai']",N/A,N/A,N/A,Shemarya
16400,"['Mevorakh', 'Abraham B. Jacob', 'Ulla B. Joseph', 'Amram B. Abraham', 'Netanel B. Amram', 'Meshullam B. Netanel']",N/A,N/A,N/A,Ulla B. Joseph
16403,"['Manasseh', 'Yefet B. Sadaqa', 'Shela B. Tovia']","דמ (possibly Damascus, Dammūh, Damīra, Damsis or Damietta)",1135 CE,1135 CE,Manasseh
16404,"['Abu Berakot', 'Zayn B. Jami Al-sayrafi', 'Abu Rida', 'Jacob Al-lebdi', 'Abu Sad Sixth In The Academy', 'Abu Hasan Al-talmid', 'Joseph B. Alloni']",N/A,1115/1116 CE,509 Hijra,Abu Sad Sixth In The Academy
16413,['Jacob B. Solomon'],N/A,N/A,N/A,Jacob B. Solomon
16417,"['Samuel Hemdat Ha-yeshiva B. Abraham', 'B. Al-furat']",N/A,N/A,N/A,Samuel Hemdat Ha-yeshiva B. Abraham
16423,"['Masliah', 'Abraham B. Shemarya', 'Shemarya', 'Abraham B. Mikhal']",N/A,1128-38 CE,10th Elul 14 Seleucid era,Masliah
16447,"['Nathan', 'B. Joseph', 'Nathan B. Ismail']",N/A,N/A,N/A,Nathan
16448,"['Nathan', 'Joseph', 'Nathan B. Ismail']",Alexandria,N/A,N/A,Nathan
16449,"['Nathan', 'Joseph', 'Nathan B. Ismail']",N/A,N/A,N/A,N/a
16459,"['Abu Karam', 'Abu Ala', 'Shemarya B. [...]']",al-Maḥalla,1170 CE,1170 CE,Shemarya B. [...]
